vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Open
23.01,-42.0,-4.25,-6.53,5.36,7.97,-80.0,9347.13
25.39,-42.0,-4.48,-6.89,7.62,14.03,-94.0,9322.58
24.51,-42.0,-4.4,-6.49,6.72,10.24,-82.0,9330.27
20.45,-42.0,-4.01,-5.87,4.63,5.11,-84.0,9366.93
27.07,-42.0,-4.8,-7.31,11.03,28.69,-44.0,9290.88
26.95,-42.0,-4.48,-7.03,11.8,28.38,-103.0,9322.15
26.89,-42.0,-4.76,-7.26,10.95,28.56,-39.0,9294.9
26.92,-42.0,-4.87,-7.15,12.18,31.64,-35.0,9284.03
28.27,-42.0,-5.11,-7.48,11.57,31.65,-26.0,9262.36
28.18,-42.0,-5.52,-8.29,15.7,42.84,-144.0,9220.26
28.39,-42.0,-5.71,-8.56,18.07,46.05,6.0,9205.44
28.33,-42.0,-5.59,-8.34,16.16,43.87,-134.0,9214.01
27.04,-39.0,-4.85,-7.32,15.12,36.27,-5.0,9279.54
27.57,-39.0,-5.03,-7.36,15.42,36.94,0.0,9269.21
27.18,-39.0,-5.11,-7.58,16.59,39.93,-5.0,9254.56
27.42,-39.0,-5.12,-7.65,16.34,39.26,-21.0,9261.41
26.86,-39.0,-4.86,-7.17,17.0,40.17,-70.0,9283.35
27.04,-39.0,-5.01,-7.29,17.0,40.41,-51.0,9268.71
27.18,-41.0,-5.0,-7.38,12.99,34.22,-20.0,9274.24
27.51,-41.0,-5.0,-7.41,12.59,33.92,-30.0,9271.12
28.36,-41.0,-5.81,-8.66,18.43,45.25,-23.0,9195.66
28.68,-41.0,-5.84,-8.84,18.07,45.01,-41.0,9189.24
27.66,-41.0,-5.37,-8.15,15.67,41.81,-106.0,9235.35
28.8,-41.0,-5.55,-8.43,17.69,45.92,-51.0,9217.88
19.27,-43.0,-4.14,-5.84,2.13,1.41,-56.0,9355.83
27.98,-43.0,-4.83,-7.39,7.8,21.84,-106.0,9288.76
20.33,-43.0,-3.96,-5.78,4.12,3.55,-88.0,9369.04
26.98,-43.0,-4.7,-7.27,9.56,26.56,-93.0,9301.57
27.42,-43.0,-4.77,-7.43,9.59,25.67,-99.0,9294.57
28.16,-43.0,-4.91,-7.68,9.04,24.24,-86.0,9280.82
26.54,-43.0,-4.68,-7.26,7.86,19.32,-118.0,9303.74
27.57,-43.0,-4.89,-7.48,10.16,27.44,-50.0,9282.71
-2.74,30.0,2.05,2.81,2.28,4.48,14.0,9351.89
-2.81,30.0,1.71,2.99,8.95,-5.57,47.0,9324.47
-2.76,32.0,1.99,2.73,2.26,4.22,15.0,9347.58
-2.66,32.0,1.69,3.04,9.17,-8.04,43.0,9323.98
-2.79,32.0,1.87,3.16,8.5,-6.0,48.0,9348.1
-2.04,32.0,1.66,2.74,8.51,4.44,29.0,9323.15
-2.63,32.0,1.6,3.02,8.53,-10.62,39.0,9307.9
-2.33,34.0,1.85,3.1,8.33,3.53,33.0,9336.46
-2.35,34.0,1.79,3.09,8.63,-5.2,36.0,9333.67
-2.61,34.0,1.84,3.19,9.0,0.62,34.0,9344.01
-2.81,36.0,2.24,3.11,3.84,6.75,23.0,9373.59
-2.76,36.0,2.35,3.27,3.69,6.75,29.0,9395.83
-2.74,36.0,2.23,3.11,4.2,7.17,19.0,9372.68
-2.86,36.0,2.21,3.12,3.44,5.67,9.0,9371.19
-3.02,36.0,2.28,3.11,2.19,5.06,26.0,9370.7
-1.66,36.0,2.1,3.08,7.04,8.01,29.0,9362.51
-2.84,33.0,2.15,3.06,2.37,4.83,19.0,9357.7
-2.79,33.0,2.15,3.09,2.42,4.78,15.0,9356.03
-2.84,35.0,2.24,3.15,3.01,4.88,21.0,9376.41
-2.45,39.0,2.43,3.54,6.22,7.76,28.0,9404.28
-2.56,39.0,2.45,3.68,6.43,8.94,35.0,9406.01
-0.03,-24.0,-1.37,-2.59,13.85,18.3,-23.0,9103.7
0.37,-27.0,-1.33,-2.92,13.74,18.05,-27.0,9119.57
0.13,-23.0,-1.25,-2.68,13.58,17.05,-34.0,9119.62
0.32,-29.0,-1.61,-3.04,13.58,18.37,-23.0,9089.47
-0.39,-24.0,-1.16,-2.3,13.35,18.45,-27.0,9122.49
-0.24,-24.0,-1.29,-2.38,13.14,18.33,-22.0,9113.05
-0.29,-23.0,-1.15,-2.35,13.64,18.28,-32.0,9129.47
0.45,-29.0,-1.65,-3.28,13.86,17.96,-21.0,9086.18
-0.81,13.0,-0.27,-2.1,3.96,7.32,0.0,9224.23
-1.2,14.0,-0.08,-1.98,3.66,7.25,0.0,9243.71
-0.73,15.0,-0.2,-1.94,4.25,7.23,0.0,9230.32
-1.04,15.0,-0.03,-1.91,4.11,4.01,-1.0,9245.66
-2.24,16.0,0.16,-1.79,3.88,8.9,1.0,9266.66
-1.15,16.0,-0.05,-1.86,4.3,5.55,0.0,9245.75
-1.35,16.0,-0.02,-1.86,4.3,5.55,0.0,9250.42
-2.19,17.0,0.25,-1.74,4.21,7.59,2.0,9277.18
-1.82,17.0,0.2,-1.64,3.02,7.56,1.0,9274.98
-2.45,18.0,0.46,-1.51,4.34,6.99,4.0,9300.12
-2.11,20.0,0.38,-1.59,4.18,7.84,3.0,9290.7
-2.55,23.0,0.58,-1.22,4.44,7.61,7.0,9292.28
-2.63,26.0,0.89,-0.59,4.01,8.07,11.0,9332.09
-1.64,27.0,1.45,0.37,6.97,2.94,19.0,9395.34
-1.93,27.0,0.9,-0.25,4.79,5.35,8.0,9341.77
-2.0,27.0,0.87,-0.3,4.4,5.42,7.0,9337.64
-1.82,27.0,0.89,-0.28,3.38,6.7,12.0,9335.81
-1.82,27.0,0.83,-0.41,3.3,6.46,10.0,9332.87
-1.74,27.0,0.82,-0.46,4.44,5.75,11.0,9332.08
-2.55,27.0,0.96,-0.52,3.93,7.84,13.0,9336.75
-2.06,28.0,1.71,1.19,7.26,3.13,28.0,9420.7
-1.93,28.0,0.9,-0.41,2.58,7.34,12.0,9332.04
-1.95,29.0,1.51,0.4,7.43,2.59,25.0,9401.82
-2.53,29.0,0.96,-0.3,3.89,7.66,12.0,9337.07
-2.6,29.0,0.9,-0.55,3.76,7.5,11.0,9333.14
-1.93,30.0,1.3,0.26,5.31,4.54,23.0,9374.17
-1.8,30.0,0.95,-0.16,3.43,7.32,11.0,9341.06
-1.93,30.0,0.83,-0.34,3.0,7.63,11.0,9330.52
-2.32,31.0,1.75,1.33,7.17,3.27,27.0,9421.91
-2.08,31.0,1.29,0.23,5.14,4.72,26.0,9370.43
-2.0,31.0,1.05,0.08,2.51,7.0,14.0,9341.4
-1.67,31.0,0.88,-0.23,3.42,6.89,10.0,9336.56
-1.56,31.0,0.85,-0.29,3.41,7.11,9.0,9334.48
-1.51,31.0,0.84,-0.31,3.53,7.09,10.0,9330.13
-2.34,32.0,1.05,-0.04,2.51,6.7,15.0,9337.54
-2.55,32.0,1.2,0.12,2.6,7.1,22.0,9356.67
-1.93,34.0,1.5,0.46,6.44,4.06,24.0,9392.16
-2.27,34.0,1.4,0.34,4.63,5.14,27.0,9374.37
-2.4,34.0,1.13,0.04,3.05,7.75,21.0,9353.35
-2.73,34.0,1.13,0.08,3.23,7.28,19.0,9353.27
-2.24,36.0,1.84,1.56,6.14,2.85,27.0,9430.91
-2.29,36.0,1.36,0.36,5.13,5.23,28.0,9372.08
-2.24,36.0,1.31,0.26,5.27,5.1,23.0,9368.44
-2.86,36.0,1.17,-0.07,3.86,7.59,16.0,9357.23
-2.81,36.0,1.21,0.2,3.13,7.41,22.0,9360.83
-2.63,36.0,1.26,0.27,3.07,6.83,26.0,9365.49
-2.86,36.0,1.17,-0.1,3.74,7.14,19.0,9356.46
-2.92,36.0,1.1,-0.14,3.88,7.63,20.0,9348.76
-2.45,38.0,1.93,1.67,6.24,2.62,28.0,9441.96
-2.08,38.0,1.56,0.57,6.33,3.74,25.0,9396.5
-2.24,38.0,1.41,0.37,4.65,4.99,28.0,9376.75
-2.29,38.0,1.42,0.42,4.78,5.56,29.0,9377.1
-3.05,38.0,1.32,0.43,3.14,6.89,27.0,9373.16
-1.35,42.0,1.54,1.23,3.41,0.79,18.0,9392.56
-2.94,42.0,2.06,1.95,5.94,2.35,37.0,9456.77
-1.72,42.0,1.87,1.62,4.31,1.55,21.0,9443.04
-1.95,33.0,1.46,0.24,6.51,3.01,23.0,9392.26
-1.9,33.0,1.34,0.23,6.33,3.97,21.0,9381.84
-1.9,33.0,1.5,0.32,6.36,4.15,27.0,9391.75
-2.24,33.0,1.05,-0.1,2.92,7.53,18.0,9349.01
-2.27,35.0,1.31,0.25,5.22,4.66,24.0,9368.85
-2.24,35.0,1.14,0.07,2.57,6.92,18.0,9347.0
-2.6,35.0,1.15,0.08,3.05,7.46,20.0,9354.5
-2.84,35.0,1.18,-0.11,3.7,7.32,22.0,9356.98
-2.32,37.0,1.86,1.54,6.99,3.29,30.0,9433.75
-2.68,37.0,1.27,0.34,3.03,6.86,24.0,9365.61
-2.29,43.0,2.18,2.11,5.35,2.49,38.0,9466.87
-0.29,-14.0,-0.33,-0.88,11.6,11.55,-15.0,9205.35
0.47,-4.0,-0.36,-0.82,10.13,10.6,-20.0,9207.21
-0.53,-13.0,-0.42,-1.12,11.6,11.55,-22.0,9201.47
-0.05,9.0,0.14,0.08,10.23,14.84,-7.0,9241.23
0.58,-2.0,-0.12,-0.35,9.86,9.09,-11.0,9221.68
0.11,-7.0,-0.09,-0.45,11.21,15.86,-12.0,9223.34
0.08,-5.0,-0.19,-0.45,10.9,15.6,-13.0,9212.86
-0.21,6.0,0.17,0.11,11.09,15.18,-4.0,9241.15
0.66,2.0,-0.04,-0.08,10.72,14.38,-13.0,9225.8
0.68,-8.0,-0.39,-0.88,10.04,13.95,-20.0,9199.59
0.05,-6.0,0.02,-0.34,11.51,11.95,-6.0,9231.02
-0.05,-5.0,-0.09,-0.35,11.4,15.99,-9.0,9223.43
-0.16,-22.0,-1.11,-2.35,13.3,19.36,-22.0,9139.15
-0.05,-22.0,-1.16,-2.21,13.21,17.97,-21.0,9133.84
0.71,-33.0,-1.82,-3.33,13.43,21.43,-30.0,9062.35
0.21,-22.0,-1.2,-2.59,14.37,22.62,-16.0,9118.26
0.05,-29.0,-1.44,-2.92,12.56,18.35,-12.0,9097.88
0.05,-31.0,-1.38,-2.76,11.86,17.59,-10.0,9104.41
-0.03,-28.0,-1.35,-2.74,12.46,18.13,-10.0,9107.23
0.58,-35.0,-1.53,-2.97,11.71,17.15,-10.0,9089.4
0.13,-30.0,-1.36,-2.7,12.25,17.88,-12.0,9104.06
0.53,-33.0,-1.54,-2.99,12.05,17.48,-13.0,9085.26
0.0,-31.0,-1.49,-2.96,12.6,18.17,-13.0,9092.02
0.42,-35.0,-1.46,-2.82,11.42,17.03,-11.0,9098.82
-0.03,-29.0,-1.39,-2.8,12.5,17.96,-10.0,9103.98
0.13,-31.0,-1.44,-2.92,12.5,18.15,-15.0,9095.65
